2021-12-29 10:28:27.561 INFO  --- [main] c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:C:\Users\xdj\nacos\config
2021-12-29 10:28:27.652 INFO  --- [main] com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2021-12-29 10:28:27.766 INFO  --- [main] com.alibaba.nacos.client.config.utils.JvmUtil - isMultiInstance:false
2021-12-29 10:28:27.815 WARN  --- [main] c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[xdjrobot.YAML] & group[DEFAULT_GROUP]
2021-12-29 10:28:27.825 INFO  --- [main] com.xdj.robot.RobotApplication - No active profile set, falling back to default profiles: default
2021-12-29 10:28:32.280 WARN  --- [main] c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.xdj.robot.model.User".
2021-12-29 10:28:32.439 WARN  --- [main] c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.xdj.robot.model.UserWorkRecord".
2021-12-29 10:28:32.490 WARN  --- [main] c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.xdj.robot.model.WorkPrice".
2021-12-29 10:28:32.539 WARN  --- [main] c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.xdj.robot.model.WorkSettlement".
2021-12-29 10:28:33.961 WARN  --- [main] com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-12-29 10:28:33.962 INFO  --- [main] com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-12-29 10:28:33.972 WARN  --- [main] com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-12-29 10:28:33.973 INFO  --- [main] com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-12-29 10:28:36.547 INFO  --- [main] com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2021-12-29 10:28:36.549 INFO  --- [main] com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2021-12-29 10:28:36.550 INFO  --- [main] com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2021-12-29 10:28:36.909 INFO  --- [main] com.alibaba.nacos.client.naming - [BEAT] adding beat: BeatInfo{port=8888, ip='12.0.208.127', weight=1.0, serviceName='DEFAULT_GROUP@@xdjrobot', cluster='DEFAULT', metadata={preserved.register.source=SPRING_CLOUD}, scheduled=false, period=5000, stopped=false} to beat map.
2021-12-29 10:28:36.911 INFO  --- [main] com.alibaba.nacos.client.naming - [REGISTER-SERVICE] public registering service DEFAULT_GROUP@@xdjrobot with instance: Instance{instanceId='null', ip='12.0.208.127', port=8888, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={preserved.register.source=SPRING_CLOUD}}
2021-12-29 10:28:36.941 INFO  --- [main] c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP xdjrobot 12.0.208.127:8888 register finished
2021-12-29 10:28:37.499 INFO  --- [main] com.xdj.robot.RobotApplication - Started RobotApplication in 14.347 seconds (JVM running for 36.211)
2021-12-29 10:28:37.506 INFO  --- [main] com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-1.15.242.161_8848] [subscribe] xdjrobot.YAML+DEFAULT_GROUP
2021-12-29 10:28:37.509 INFO  --- [main] com.alibaba.nacos.client.config.impl.CacheData - [fixed-1.15.242.161_8848] [add-listener] ok, tenant=, dataId=xdjrobot.YAML, group=DEFAULT_GROUP, cnt=1
2021-12-29 10:28:37.510 INFO  --- [main] com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-1.15.242.161_8848] [subscribe] xdjrobot+DEFAULT_GROUP
